# id:18--18--18 
0.48,-0.22,-1
-0.85,0.52,-1
-0.95,-0.87,1
-0.65,0.47,-1
0.77,0.62,-1
-0.68,-0.67,1
0.95,0.37,-1
0.88,-0.29,-1
-0.89,0.78,-1
-0.22,-0.35,1
0.41,-0.35,1
0.92,0.04,-1
0.13,0.08,1
0.54,-0.06,-1
-0.27,-0.62,1
-0.86,-0.43,-1
0.96,-0.54,-1
-0.48,0.68,-1
0.51,-0.34,-1
0.29,-0.15,1
0.88,-0.76,-1
0.04,0.16,-1
-0.28,-0.43,1
0.87,-0.61,-1
0.74,-0.56,1
0.94,-0.45,-1
0.15,-0.62,1
0.79,0.09,-1
-0.56,-0.38,1
0.67,0.2,-1
0.93,0.87,-1
0.73,-0.79,1
-0.66,0.41,-1
-0.14,-0.52,1
-0.87,0.2,-1
-0.85,-0.53,-1
-0.47,-0.95,1
-0.25,-0.49,1
0.44,0.41,-1
-0.04,-0.35,1
0.52,0.49,-1
0.03,0.24,-1
-0.37,-0.58,1
0.11,0.91,-1
0.78,0.78,-1
0.42,-0.63,1
-0.49,-0.67,1
0.52,0.38,-1
0.98,0.97,-1
0.19,-0.7,1
0.44,0.02,-1
0.54,0.81,-1
0.24,-1,1
0.69,0,-1
0.26,0.26,-1
0.81,-0.25,-1
0.88,-0.66,-1
-0.94,-0.95,1
-0.52,1,-1
-0.39,0.04,-1
-0.95,0.84,-1
0.58,0.12,-1
-0.4,0.02,-1
-0.76,0.78,-1
-0.47,0.91,-1
0.77,0.93,-1
0.38,-0.1,1
0.85,-0.45,-1
0.75,-0.17,-1
-0.88,-0.22,-1
-0.09,0.21,-1
0.58,0.56,-1
0.25,-0.49,1
-0.46,-0.07,-1
-0.74,0.43,-1
-0.03,0.1,-1
0.93,0.01,-1
-0.32,-0.91,1
-0.05,-0.97,1
0.67,0.44,-1
0.01,0.52,-1
-0.34,-0.58,1
0.12,-0.14,1
0.23,-0.38,1
-0.29,-0.77,1
-0.31,-0.95,1
-0.72,0.71,-1
0.49,-0.92,1
-0.71,0.39,-1
0.79,-0.19,-1
-0.09,-0.15,1
0.19,-0.52,1
0.1,-0.34,1
-0.93,0.84,-1
0.09,0.2,-1
-0.76,0.25,-1
-0.63,-0.21,-1
0.94,0.1,-1
-0.32,-0.02,1
0.21,0.06,-1
0.23,-0.06,-1
-0.34,-0.58,1
-0.3,-0.44,1
-0.67,0.12,-1
-0.01,0.63,-1
0.32,0.5,-1
-0.78,0.15,-1
-0.53,-0.27,-1
-0.94,-0.32,-1
-0.79,0.33,-1
0.02,-0.29,1
-0.81,0.04,-1
-0.94,-0.18,-1
0.38,-0.17,1
-0.68,-0.58,1
0.11,0.82,-1
-0.72,1,-1
-0.04,-0.67,1
1,-0.08,-1
-0.98,0.72,-1
0.37,0.92,-1
0.62,0.91,-1
0.18,-0.73,1
0.98,0.17,-1
0.35,0.17,-1
-0.33,-0.25,1
0.89,0.12,-1
-0.93,0.04,-1
0.03,-0.47,1
-0.63,0.2,-1
-0.09,-0.64,1
0.7,0.19,-1
-0.18,-0.97,1
0.23,0.56,-1
0.91,0.59,-1
-0.27,-0.35,1
-0.97,1,-1
-0.26,-0.22,1
-0.04,0.92,-1
0.11,-0.02,1
0.44,-0.89,1
-0.41,0.53,-1
-0.84,-0.56,-1
0.38,0.73,-1
0.63,-0.12,-1
1,-0.69,-1
0.67,0.88,-1
-0.23,0.03,1
-0.14,-0.52,1
-0.75,-0.65,-1
0.62,0.9,-1
-0.01,-0.77,1
-0.8,-0.64,-1
0.61,-0.62,1
0,-0.34,1
0.76,0.16,-1
-0.06,0.21,-1
0.09,0.04,1
0.95,-0.11,-1
0.37,0.64,-1
-0.34,-0.39,1
0.68,-0.52,1
0.66,-0.49,1
-0.99,-0.35,-1
0.44,0.71,-1
-0.04,-0.73,1
-0.3,-0.94,1
-0.48,-0.5,1
0.7,0.8,-1
0.52,0.15,-1
-0.79,0.64,-1
-0.82,0.67,-1
0.23,0.02,1
0.94,0.59,-1
-0.18,-0.91,1
0.95,0.28,-1
0.7,0.51,-1
0,-0.34,1
